	Instantie	Datum uitspraak	Datum publicatie	Zaaknummer	Rechtsgebieden	Bijzondere kenmerken	Inhoudsindicatie	Vindplaatsen		Wetsverwijzingen	Formele relaties
0	Rechtbank Den Haag	09-11-2022	09-11-2022	C-09-632745-KG ZA 22-669	Civiel recht	Kort geding	Kort geding. Vordering om Staat te verbieden eiser uit te leveren aan Australië en/of nader onderzoek te doen of nadere garanties te vragen afgewezen. Geen reëel risico op een levenslange gevangenisstraf na uitlevering. Vordering tot afgifte van stukken ook afgewezen. Interstatelijke vertrouwelijkheid.	Rechtspraak.nl	Verrijkte uitspraak		
1	Rechtbank Den Haag	09-11-2022	09-11-2022	C/09/609567 / HA ZA 21-300	Civiel recht	"Bodemzaak
Eerste aanleg - meervoudig"	Beroep op volledige nadeelscompensatie (voor onevenredige schade door coronamaatregelen) horecaondermemers op grond van het égalitébeginsel slaagt niet.	Rechtspraak.nl	Verrijkte uitspraak		
2	Rechtbank Den Haag	09-11-2022	09-11-2022	C/09/601949 / HA ZA 20-1067	Civiel recht	"Bodemzaak
Eerste aanleg - meervoudig"	Geschil over het uit de VVD-fractie zetten van een Eerste Kamerlid. De beslissing een lid uit een fractie van een partij te zetten betreft politieke besluitvorming en speelt zich af in een autonome politieke sfeer, waarbij voor rechterlijk ingrijpen geen plaats is.De vorderingen van eiseressen dat gedaagden ook los van de voornoemde beslissing onrechtmatig jegens eiseressen hebben gehandeld en schadeplichtig zijn worden afgewezen.	Rechtspraak.nl	Verrijkte uitspraak		
3	Rechtbank Den Haag	07-11-2022	08-11-2022	C/09/623033 / FA RK 21-8848	Personen- en familierecht	Beschikking	Vaststellen van een verlengde onderhoudsplicht bij een dochter van 22 jaar oud. De rechtbank oordeelt dat er sprake is van een natuurlijke verbintenis op grond waarvan de vader ook ná het 21e levensjaar van de minderjarige kinderalimentatie moet betalen.	Rechtspraak.nl	Verrijkte uitspraak		
4	Rechtbank Rotterdam	04-11-2022	04-11-2022	C/10/645656 / KG ZA 22-837	Civiel recht	Kort geding	Kort geding; vordering tegen bestuurdersaansprakelijkheidsverzekeraar tot vergoeding van (niet gespecificeerde) kosten van verweer. Dat verweer betreft een hoger beroep tegen een beschikking waarin eisers zijn ontslagen als bestuurders van een stichting. De vordering wordt afgewezen omdat niet wordt voldaan aan de eisen van een geldvordering in kort geding. Het spoedeisend belang bij die vordering is niet geconcretiseerd en evenmin onderbouwd. Van een aannemelijke vordering is ook geen sprake en tot slot is de vordering onvoldoende bepaalbaar.	Rechtspraak.nl	Verrijkte uitspraak		
5	Rechtbank Midden-Nederland	04-11-2022	04-11-2022	10109143 / MV EXPL  22-117 (HHt/37278 ) van	Civiel recht	Kort geding	Deze zaak gaat over overlast. Woonpalet heeft in de loop van 2021 veel overlastmeldingen over de huurders van de (directe) buren ontvangen. Ondanks de inzet van Woonpalet, politie, gemeente en de betrokken hulpverlenende instanties wordt de door huurders veroorzaakte overlast niet minder. De huurders hebben zich niet gedragen als goede huurders, omdat zij ernstige overlast hebben veroorzaakt aan hun (directe) buren. Van de (directe) buren kan dan ook niet langer worden gevraagd de overlast te dulden. De belangenafweging pakt in het nadeel van de huurders uit. De huurders moeten de woning ontruimen en verlaten. De huurders krijgen vanwege de kwetsbare situatie van één van de huurders, een langere ontruimingstermijn van 4 weken.	Rechtspraak.nl	Verrijkte uitspraak		
6	Rechtbank Rotterdam	04-11-2022	07-11-2022	C/10/644020 / HA ZA 22-706	Verbintenissenrecht	Proces-verbaal	NVM-koopakte. Eén van de kopers beroept zich op (onder andere) ontbreken van wil, dwaling en ontbinding binnen de 7:2-BW-termijn. Alle verweren verworpen. Boete gematigd.	Rechtspraak.nl	Verrijkte uitspraak		
7	Rechtbank Rotterdam	04-11-2022	07-11-2022	9794375	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Gemengde overeenkomst van aanneming en koop. Gordijnen beantwoorden niet aan de overeenkomst. Rechtsgeldige buitengerechtelijke ontbinding. Artikel 6:272 BW	Rechtspraak.nl	Verrijkte uitspraak		
8	Rechtbank Rotterdam	04-11-2022	07-11-2022	9980957 CV EXPL 22-20329	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Bewoning trainingswoning als gevolg van justitiële maatregel zonder schriftelijke huurovereenkomst; voldaan aan de vereisten van een huurovereenkomst	Rechtspraak.nl	Verrijkte uitspraak		
9	Rechtbank Rotterdam	04-11-2022	07-11-2022	C/10/645924 / KG ZA 22-849	Civiel recht	Kort geding	Kort geding. De dagvaarding is betekend aan het postadres van gedaagde dat volgt uit de BRP. Verstek verleend. Gedaagde wordt veroordeeld tot het geven van een verklaring wat er met de door hem in ontvangst genomen zending is gebeurd. Dwangsom.	Rechtspraak.nl	Verrijkte uitspraak		
