	index	Datum uitspraak:	Datum publicatie:	Rechtsgebieden:	Bijzondere kenmerken:	Vindplaatsen:	Inhoudsindicatie:	Formele relaties:
0	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBDHA:2022:11716&showbutton=true	09-11-2022	09-11-2022	Civiel recht	Kort geding	Rechtspraak.nl	Kort geding. Vordering om Staat te verbieden eiser uit te leveren aan Australië en/of nader onderzoek te doen of nadere garanties te vragen afgewezen. Geen reëel risico op een levenslange gevangenisstraf na uitlevering. Vordering tot afgifte van stukken ook afgewezen. Interstatelijke vertrouwelijkheid.	
1	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBDHA:2022:11457&showbutton=true	09-11-2022	09-11-2022	Civiel recht	Bodemzaak, Eerste aanleg - meervoudig	Rechtspraak.nl	Beroep op volledige nadeelscompensatie (voor onevenredige schade door coronamaatregelen) horecaondermemers op grond van het égalitébeginsel slaagt niet.	
2	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBDHA:2022:11389&showbutton=true	09-11-2022	09-11-2022	Civiel recht	Bodemzaak, Eerste aanleg - meervoudig	Rechtspraak.nl	"Geschil over het uit de VVD-fractie zetten van een Eerste Kamerlid. De beslissing een lid uit een fractie van een partij te zetten betreft politieke besluitvorming en speelt zich af in een autonome politieke sfeer, waarbij voor rechterlijk ingrijpen ...  
                 meer"	
3	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBDHA:2022:11601&showbutton=true	07-11-2022	08-11-2022	Personen- en familierecht	Beschikking	Rechtspraak.nl	Vaststellen van een verlengde onderhoudsplicht bij een dochter van 22 jaar oud. De rechtbank oordeelt dat er sprake is van een natuurlijke verbintenis op grond waarvan de vader ook ná het 21e levensjaar van de minderjarige kinderalimentatie moet betalen.	
4	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:9375&showbutton=true	04-11-2022	04-11-2022	Civiel recht	Kort geding	Rechtspraak.nl	"Kort geding; vordering tegen bestuurdersaansprakelijkheidsverzekeraar tot vergoeding van (niet gespecificeerde) kosten van verweer. Dat verweer betreft een hoger beroep tegen een beschikking waarin eisers zijn ontslagen als bestuurders van een sticht...  
                 meer"	
5	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBMNE:2022:4364&showbutton=true	04-11-2022	04-11-2022	Civiel recht	Kort geding	Rechtspraak.nl	"Deze zaak gaat over overlast. Woonpalet heeft in de loop van 2021 veel overlastmeldingen over de huurders van de (directe) buren ontvangen. Ondanks de inzet van Woonpalet, politie, gemeente en de betrokken hulpverlenende instanties wordt de door huur...  
                 meer"	
6	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:9447&showbutton=true	04-11-2022	07-11-2022	Verbintenissenrecht	Proces-verbaal	Rechtspraak.nl	NVM-koopakte. Eén van de kopers beroept zich op (onder andere) ontbreken van wil, dwaling en ontbinding binnen de 7:2-BW-termijn. Alle verweren verworpen. Boete gematigd.	
7	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:9348&showbutton=true	04-11-2022	07-11-2022	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Gemengde overeenkomst van aanneming en koop. Gordijnen beantwoorden niet aan de overeenkomst. Rechtsgeldige buitengerechtelijke ontbinding. Artikel 6:272 BW	
8	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:9374&showbutton=true	04-11-2022	07-11-2022	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Bewoning trainingswoning als gevolg van justitiële maatregel zonder schriftelijke huurovereenkomst; voldaan aan de vereisten van een huurovereenkomst	
9	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:9426&showbutton=true	04-11-2022	07-11-2022	Civiel recht	Kort geding	Rechtspraak.nl	Kort geding. De dagvaarding is betekend aan het postadres van gedaagde dat volgt uit de BRP. Verstek verleend. Gedaagde wordt veroordeeld tot het geven van een verklaring wat er met de door hem in ontvangst genomen zending is gebeurd. Dwangsom.	
10	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBZWB:2022:6466&showbutton=true	04-11-2022	08-11-2022	Civiel recht	Bodemzaak	Rechtspraak.nl	Vordering van gemeente tot ontruiming toegewezen; spoedeisend belang; beslissing dat huurovereenkomst rechtsgeldig door opzegging is geëindigd heeft gezag van gewijsde; stichting maakt zonder recht of titel gebruik van gehuurde; geen misbruik van recht.	
11	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:9488&showbutton=true	04-11-2022	08-11-2022	Civiel recht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Geldvordering.	
12	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:9489&showbutton=true	04-11-2022	08-11-2022	Civiel recht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Geldvordering.	
13	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:9490&showbutton=true	04-11-2022	08-11-2022	Civiel recht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Geldvordering.	
14	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:9520&showbutton=true	04-11-2022	08-11-2022	Civiel recht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Kantonrechter komt terug op de verleende afstand van instantie. Na vermindering van eis resteert alleen nog een proceskostenveroordeling. Geen aanleiding om het voorstel van gedaagden te volgen om prejudiciële vragen aan de Hoge Raad voor te leggen over artikel 7:417 lid 2 en 3 BW.	
15	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:9454&showbutton=true	04-11-2022	08-11-2022	Civiel recht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Opheffing beslag gevorderd in art. 223 Rv-incident. Levert 403-verklaring van buitenlandse vennootschap voldoende vervangende zekerheid op? Afwijzing.	
16	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBNHO:2022:9784&showbutton=true	04-11-2022	09-11-2022	Personen- en familierecht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	"Ontkenning vaderschap + gelijktijdige (voorwaardelijke) beslissing over gerechtelijke vaststelling ouderschap. Geslachtsnaam. IPR. Deze beslissing wijkt af van de richtlijn van de Expertgroep Adoptie en Overige Boek 1 zaken dat niet in één beschikkin...  
                 meer"	
17	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBDHA:2022:11398&showbutton=true	03-11-2022	04-11-2022	Insolventierecht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Afwijzing verzoek WSNP. Schulden niet te goeder trouw. Niet de verwachting dat verplichtingen uit regeling zullen worden nagekomen.	
18	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBOBR:2022:4822&showbutton=true	03-11-2022	04-11-2022	Civiel recht	Bodemzaak, Eerste aanleg - enkelvoudig	Rechtspraak.nl	"De vraag die in deze zaak centraal staat is of het ziekenhuis een patiënt voor een behandeling had moeten waarschuwen dat haar verzekering de kosten van de behandeling niet geheel dekte. Eiseres (het ziekenhuis) vindt dat de dekking van de zorgverzek...  
                 meer"	
19	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBOBR:2022:4823&showbutton=true	03-11-2022	09-11-2022	Civiel recht	Kort geding	Rechtspraak.nl	vordering tot heraansluiting  na afsluiting elektriciteit ivm diefstal stroom ihkv opgerolde hennepkwekerij	
20	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBZWB:2022:6569&showbutton=true	03-11-2022	09-11-2022	Civiel recht	Bodemzaak	Rechtspraak.nl	Eindbeschikking na bewijslevering t.a.v. de loonvordering en ongerechtvaardigde verrijking.	
21	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBMNE:2022:4291&showbutton=true	02-11-2022	02-11-2022	Civiel recht	Eerste aanleg - meervoudig	Rechtspraak.nl	"Afwijzing vordering van zorgkantoor Zilveren Kruis op zorgverlener Fundament tot terugbetaling van niet-verantwoorde pgb-gelden. De budgethouders hebben zelf geen schade geleden omdat zij de vordering die Zilveren Kruis op hen heeft, niet hoeven teru...  
                 meer"	
